,,Deaths,Deaths,Deaths,Deaths,Population,Population,Population,Population
Race,,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White
State,Year,,,,,,,,
Colorado,2007.0,198.0,253.0,1050.0,28492.0,79271.0,153365.0,224746.0,4346486.0
Colorado,2008.0,196.0,368.0,1126.0,29584.0,84116.0,159295.0,231792.0,4414527.0
Colorado,2009.0,258.0,374.0,1143.0,29398.0,88634.0,165687.0,239309.0,4478565.0
Colorado,2010.0,197.0,377.0,1188.0,29703.0,93003.0,170692.0,245200.0,4520301.0
Colorado,2011.0,228.0,440.0,1224.0,30671.0,95952.0,177324.0,254320.0,4589200.0
Colorado,2012.0,275.0,470.0,1270.0,31118.0,97236.0,183568.0,259561.0,4647217.0
Colorado,2013.0,245.0,482.0,1268.0,31717.0,99380.0,190219.0,266564.0,4712204.0
Colorado,2014.0,295.0,503.0,1286.0,33153.0,101162.0,199451.0,275766.0,4779487.0
Colorado,2015.0,274.0,542.0,1422.0,34111.0,103235.0,209275.0,284005.0,4860059.0
Colorado,2016.0,308.0,616.0,1402.0,35204.0,105212.0,213854.0,289206.0,4932273.0
Colorado,2017.0,304.0,624.0,1488.0,35647.0,106359.0,222838.0,295430.0,4982527.0
Colorado,2018.0,379.0,661.0,1555.0,35931.0,108684.0,233219.0,303260.0,5050401.0
Connecticut,1999.0,21.0,142.0,1944.0,27339.0,11760.0,88065.0,341801.0,2944775.0
Connecticut,2000.0,35.0,121.0,2051.0,27922.0,12827.0,91816.0,347678.0,2953244.0
Connecticut,2001.0,43.0,138.0,2044.0,27602.0,13527.0,98640.0,355440.0,2965228.0
Connecticut,2002.0,58.0,145.0,1999.0,27920.0,14173.0,105615.0,363022.0,2975939.0
Connecticut,2003.0,49.0,150.0,1960.0,27468.0,15016.0,112765.0,370417.0,2986138.0
Connecticut,2004.0,42.0,161.0,2019.0,27092.0,15550.0,118414.0,375875.0,2986255.0
Connecticut,2005.0,39.0,207.0,2020.0,27201.0,16184.0,124478.0,381552.0,2984742.0
Connecticut,2006.0,30.0,200.0,2041.0,26989.0,16916.0,130310.0,388120.0,2982114.0
Connecticut,2007.0,27.0,198.0,2076.0,26350.0,17626.0,135691.0,394640.0,2979313.0
Connecticut,2008.0,33.0,203.0,2010.0,26548.0,18438.0,141482.0,401643.0,2984016.0
Connecticut,2009.0,22.0,234.0,2068.0,26261.0,19258.0,146808.0,409897.0,2985844.0
Connecticut,2010.0,23.0,250.0,2073.0,26346.0,20015.0,150814.0,416130.0,2987138.0
Connecticut,2011.0,18.0,261.0,2111.0,27136.0,20415.0,155366.0,420735.0,2984193.0
Connecticut,2012.0,28.0,272.0,2074.0,26942.0,21059.0,161705.0,426892.0,2980691.0
Connecticut,2013.0,24.0,262.0,2188.0,27158.0,21888.0,166419.0,434310.0,2973463.0
Connecticut,2014.0,23.0,299.0,2215.0,27323.0,21903.0,173566.0,440994.0,2960214.0
Connecticut,2015.0,30.0,297.0,2328.0,27880.0,22580.0,178368.0,445929.0,2944009.0
Connecticut,2016.0,20.0,364.0,2499.0,27660.0,22663.0,179900.0,449615.0,2924274.0
Connecticut,2017.0,27.0,326.0,2411.0,28548.0,23036.0,185906.0,456300.0,2922942.0
Connecticut,2018.0,31.0,348.0,2497.0,28354.0,23538.0,186224.0,459499.0,2903404.0
Delaware,1999.0,13.0,27.0,1074.0,5552.0,3103.0,17031.0,153643.0,601213.0
Delaware,2000.0,13.0,30.0,1137.0,5695.0,3306.0,17820.0,157045.0,605429.0
Delaware,2001.0,13.0,30.0,1182.0,5887.0,3695.0,19356.0,162206.0,610442.0
Delaware,2002.0,13.0,40.0,1110.0,5698.0,3932.0,20626.0,166583.0,615028.0
Delaware,2003.0,,35.0,1236.0,5791.0,,22159.0,171022.0,620499.0
Delaware,2004.0,23.0,29.0,1203.0,5888.0,4567.0,23798.0,175605.0,626833.0
Delaware,2005.0,13.0,44.0,1245.0,6170.0,4924.0,25348.0,181480.0,633398.0
Delaware,2006.0,20.0,38.0,1236.0,5910.0,5255.0,26812.0,187148.0,640053.0
Delaware,2007.0,27.0,48.0,1198.0,6054.0,5526.0,28502.0,192615.0,645106.0
Delaware,2008.0,11.0,61.0,1222.0,6328.0,5901.0,29849.0,197813.0,650311.0
Delaware,2009.0,18.0,43.0,1279.0,6194.0,6270.0,31080.0,201775.0,652605.0
Delaware,2010.0,12.0,50.0,1281.0,6363.0,6573.0,31687.0,204730.0,654944.0
Delaware,2011.0,15.0,55.0,1272.0,6503.0,6686.0,32920.0,207425.0,660104.0
Delaware,2012.0,16.0,84.0,1408.0,6367.0,6808.0,34727.0,211248.0,664309.0
Delaware,2013.0,14.0,75.0,1315.0,6563.0,6833.0,36257.0,214516.0,668143.0
Delaware,2014.0,28.0,90.0,1450.0,6692.0,6875.0,37946.0,217941.0,672852.0
Delaware,2015.0,18.0,76.0,1474.0,7014.0,6887.0,39912.0,221986.0,677149.0
Delaware,2016.0,20.0,79.0,1537.0,7238.0,6887.0,40868.0,225293.0,679017.0
Delaware,2017.0,19.0,106.0,1736.0,7317.0,6956.0,42850.0,230038.0,682095.0
Delaware,2018.0,21.0,110.0,1714.0,7588.0,7220.0,42908.0,233113.0,683930.0
District of Columbia,1999.0,,48.0,4765.0,1256.0,,16642.0,354021.0,197359.0
District of Columbia,2000.0,,64.0,4693.0,1239.0,,17106.0,353632.0,198984.0
District of Columbia,2001.0,,38.0,4664.0,1240.0,,17810.0,349536.0,204684.0
District of Columbia,2002.0,,58.0,4655.0,1136.0,,18094.0,346080.0,206332.0
District of Columbia,2003.0,,44.0,4417.0,1108.0,,18513.0,340751.0,206505.0
District of Columbia,2004.0,,43.0,4258.0,1145.0,,19264.0,335297.0,210252.0
District of Columbia,2005.0,,60.0,4330.0,1084.0,,19165.0,329329.0,215554.0
District of Columbia,2006.0,,46.0,4113.0,1177.0,,21030.0,325064.0,221264.0
District of Columbia,2007.0,,44.0,3983.0,1155.0,,20754.0,321494.0,228646.0
District of Columbia,2008.0,,57.0,4007.0,1072.0,,22734.0,318392.0,235420.0
District of Columbia,2009.0,,41.0,3770.0,1020.0,,23028.0,317978.0,247187.0
District of Columbia,2010.0,,39.0,3590.0,1042.0,,24582.0,317619.0,255534.0
District of Columbia,2011.0,,55.0,3570.0,963.0,,26147.0,320832.0,266864.0
District of Columbia,2012.0,,46.0,3589.0,1007.0,,27516.0,324476.0,276057.0
District of Columbia,2013.0,,56.0,3623.0,1034.0,,28460.0,328102.0,285467.0
District of Columbia,2014.0,,41.0,3638.0,1040.0,,30060.0,331672.0,292649.0
District of Columbia,2015.0,,58.0,3741.0,1068.0,,32075.0,333883.0,301687.0
District of Columbia,2016.0,,59.0,3949.0,1022.0,,32055.0,334736.0,309313.0
District of Columbia,2017.0,,65.0,3859.0,1034.0,,33532.0,336542.0,318871.0
District of Columbia,2018.0,,66.0,3861.0,1076.0,,34883.0,336228.0,326137.0
Florida,1999.0,118.0,511.0,17100.0,145495.0,60913.0,300702.0,2419083.0,12978723.0
Florida,2000.0,136.0,510.0,17150.0,146599.0,66388.0,315422.0,2468478.0,13132090.0
Florida,2001.0,142.0,616.0,17661.0,148850.0,70444.0,340453.0,2553214.0,13392855.0
Florida,2002.0,174.0,657.0,17842.0,149141.0,74505.0,363758.0,2627531.0,13623576.0
Florida,2003.0,164.0,768.0,17937.0,149788.0,78291.0,387049.0,2700143.0,13838602.0
Florida,2004.0,175.0,785.0,18089.0,149959.0,81982.0,414998.0,2786446.0,14131892.0
Florida,2005.0,196.0,963.0,18514.0,151118.0,85745.0,445860.0,2881786.0,14428647.0
Florida,2006.0,190.0,961.0,18757.0,150158.0,89957.0,473540.0,2969250.0,14634243.0
Florida,2007.0,175.0,1057.0,18666.0,148198.0,93162.0,494671.0,3029024.0,14750985.0
Florida,2008.0,202.0,1087.0,18673.0,150741.0,95642.0,512331.0,3086395.0,14832937.0
Florida,2009.0,180.0,1209.0,18726.0,149809.0,97488.0,527477.0,3133488.0,14894191.0
Florida,2010.0,238.0,1319.0,18729.0,153505.0,99328.0,540137.0,3172720.0,14989125.0
Florida,2011.0,196.0,1234.0,18904.0,153642.0,103918.0,562698.0,3242646.0,15148280.0
Florida,2012.0,208.0,1335.0,19551.0,156197.0,105986.0,583337.0,3311596.0,15316649.0
Florida,2013.0,250.0,1578.0,20169.0,159115.0,107880.0,603348.0,3371252.0,15470380.0
Florida,2014.0,253.0,1685.0,20612.0,163406.0,110380.0,631668.0,3451906.0,15699343.0
Florida,2015.0,277.0,1912.0,21758.0,167790.0,112647.0,658187.0,3528984.0,15971454.0
Florida,2016.0,328.0,2004.0,22817.0,172164.0,114466.0,671619.0,3597739.0,16228615.0
Florida,2017.0,294.0,2229.0,23566.0,177547.0,116826.0,700659.0,3678445.0,16488470.0
Florida,2018.0,296.0,2290.0,24166.0,178674.0,119648.0,721486.0,3736443.0,16721748.0
Georgia,1999.0,66.0,297.0,16782.0,44883.0,21483.0,177250.0,2343624.0,5503608.0
Georgia,2000.0,89.0,332.0,17185.0,46264.0,26783.0,192400.0,2395234.0,5572036.0
Georgia,2001.0,70.0,365.0,17248.0,46802.0,29086.0,211322.0,2468186.0,5668444.0
Georgia,2002.0,101.0,362.0,17730.0,47256.0,31629.0,226700.0,2522522.0,5727405.0
Georgia,2003.0,131.0,364.0,17835.0,48148.0,33967.0,240749.0,2571491.0,5776586.0
Georgia,2004.0,133.0,325.0,17702.0,47658.0,36528.0,256011.0,2635336.0,5841377.0
Georgia,2005.0,134.0,477.0,18031.0,48094.0,39047.0,273073.0,2702396.0,5911406.0
Georgia,2006.0,75.0,636.0,18416.0,48681.0,42276.0,293130.0,2805927.0,6014480.0
Georgia,2007.0,61.0,562.0,18590.0,49118.0,45109.0,310982.0,2891925.0,6101972.0
Georgia,2008.0,14.0,502.0,18999.0,50125.0,48540.0,327759.0,2962628.0,6165916.0
Georgia,2009.0,30.0,619.0,18813.0,50250.0,51638.0,342019.0,3023009.0,6204180.0
Georgia,2010.0,44.0,743.0,18929.0,51547.0,54033.0,352249.0,3057817.0,6223554.0
Georgia,2011.0,46.0,705.0,18768.0,51729.0,55612.0,365731.0,3113361.0,6280506.0
Georgia,2012.0,45.0,780.0,19189.0,52833.0,56183.0,383205.0,3163293.0,6317264.0
Georgia,2013.0,55.0,863.0,20107.0,54063.0,56461.0,399271.0,3206522.0,6329913.0
Georgia,2014.0,63.0,951.0,20770.0,55103.0,56875.0,421265.0,3260440.0,6358763.0
Georgia,2015.0,68.0,1018.0,21686.0,57170.0,57450.0,444592.0,3320419.0,6392399.0
Georgia,2016.0,61.0,1120.0,22442.0,57805.0,58544.0,456404.0,3384642.0,6410781.0
Georgia,2017.0,71.0,1125.0,23278.0,58624.0,59961.0,477375.0,3447386.0,6444657.0
Georgia,2018.0,58.0,1243.0,24087.0,59814.0,61333.0,491893.0,3499496.0,6466753.0
Hawaii,1999.0,25.0,5888.0,68.0,2289.0,4677.0,811734.0,31161.0,362728.0
Hawaii,2000.0,32.0,5883.0,65.0,2310.0,4547.0,816218.0,30498.0,360274.0
Hawaii,2001.0,31.0,5969.0,55.0,2339.0,4733.0,823147.0,32533.0,365535.0
Hawaii,2002.0,33.0,6300.0,68.0,2400.0,5024.0,828889.0,33918.0,371782.0
Hawaii,2003.0,19.0,6385.0,67.0,2507.0,5207.0,837056.0,33385.0,375506.0
Hawaii,2004.0,13.0,6407.0,81.0,2529.0,5369.0,852273.0,32914.0,383013.0
Hawaii,2005.0,17.0,6395.0,74.0,2650.0,5557.0,861818.0,33769.0,391585.0
Hawaii,2006.0,15.0,6747.0,81.0,2589.0,5794.0,870882.0,33889.0,399166.0
Hawaii,2007.0,22.0,6652.0,89.0,2732.0,5728.0,879253.0,32822.0,397872.0
Hawaii,2008.0,19.0,6687.0,92.0,2703.0,5844.0,889527.0,33067.0,403775.0
Hawaii,2009.0,25.0,6973.0,93.0,2823.0,5974.0,900614.0,33296.0,406833.0
Hawaii,2010.0,32.0,6751.0,87.0,2747.0,5840.0,910638.0,33390.0,410433.0
Hawaii,2011.0,23.0,6945.0,67.0,2888.0,6760.0,909176.0,38852.0,420022.0
Hawaii,2012.0,33.0,7243.0,99.0,2899.0,6415.0,917473.0,41541.0,426884.0
Hawaii,2013.0,26.0,7456.0,112.0,2911.0,7066.0,915836.0,44268.0,436884.0
Hawaii,2014.0,17.0,7314.0,89.0,3347.0,7281.0,922982.0,46577.0,442721.0
Hawaii,2015.0,11.0,7702.0,128.0,3212.0,7402.0,927227.0,49249.0,447725.0
Hawaii,2016.0,18.0,7621.0,112.0,3162.0,6665.0,942954.0,43301.0,435637.0
Hawaii,2017.0,21.0,7926.0,119.0,3324.0,6523.0,944282.0,43413.0,433320.0
Hawaii,2018.0,16.0,8012.0,119.0,3268.0,6559.0,940001.0,43434.0,430497.0
Idaho,1999.0,93.0,27.0,28.0,9431.0,19325.0,14097.0,6243.0,1236009.0
Idaho,2000.0,101.0,52.0,26.0,9384.0,20595.0,15240.0,7580.0,1250538.0
Idaho,2001.0,112.0,53.0,22.0,9566.0,21349.0,16356.0,8553.0,1273704.0
Idaho,2002.0,113.0,52.0,25.0,9733.0,22053.0,17102.0,9279.0,1291938.0
Idaho,2003.0,134.0,49.0,22.0,10175.0,22713.0,18102.0,9994.0,1312571.0
Idaho,2004.0,99.0,44.0,19.0,9866.0,23461.0,19138.0,10823.0,1338380.0
Idaho,2005.0,134.0,54.0,19.0,10349.0,24664.0,20513.0,11770.0,1371294.0
Idaho,2006.0,92.0,54.0,29.0,10438.0,25683.0,21828.0,12702.0,1408456.0
Idaho,2007.0,116.0,68.0,26.0,10612.0,26818.0,23410.0,13628.0,1441249.0
Idaho,2008.0,129.0,85.0,29.0,10719.0,28001.0,24332.0,14244.0,1467743.0
Idaho,2009.0,151.0,60.0,26.0,10861.0,28928.0,25292.0,15054.0,1485165.0
Idaho,2010.0,131.0,87.0,34.0,11177.0,29801.0,25893.0,15104.0,1496784.0
Idaho,2011.0,131.0,80.0,34.0,11782.0,30666.0,27150.0,16880.0,1510289.0
Idaho,2012.0,130.0,94.0,31.0,11743.0,30943.0,28173.0,16896.0,1519716.0
Idaho,2013.0,150.0,92.0,36.0,12156.0,31792.0,28991.0,18002.0,1533351.0
Idaho,2014.0,157.0,64.0,31.0,12361.0,32662.0,30267.0,18928.0,1552607.0
Idaho,2015.0,148.0,87.0,26.0,12765.0,33410.0,31961.0,19519.0,1570040.0
Idaho,2016.0,143.0,95.0,37.0,13091.0,34218.0,32458.0,20021.0,1596443.0
Idaho,2017.0,148.0,113.0,44.0,13706.0,34832.0,34444.0,21230.0,1626437.0
Idaho,2018.0,169.0,108.0,44.0,13940.0,35530.0,36349.0,22301.0,1660028.0
Illinois,1999.0,68.0,951.0,16843.0,90574.0,39586.0,444409.0,1923260.0,9951765.0
Illinois,2000.0,51.0,996.0,16289.0,89298.0,43660.0,460311.0,1933802.0,9981520.0
Illinois,2001.0,67.0,1112.0,16362.0,87889.0,47869.0,484828.0,1940249.0,10015499.0
Illinois,2002.0,70.0,1163.0,16437.0,88997.0,51366.0,503613.0,1942243.0,10028334.0
Illinois,2003.0,61.0,1109.0,16425.0,87730.0,55196.0,521161.0,1942340.0,10037309.0
Illinois,2004.0,63.0,1117.0,15919.0,85571.0,59253.0,538214.0,1944473.0,10047833.0
Illinois,2005.0,75.0,1259.0,15987.0,86653.0,63271.0,555402.0,1944853.0,10046377.0
Illinois,2006.0,76.0,1248.0,15780.0,85067.0,67580.0,574103.0,1947836.0,10054436.0
Illinois,2007.0,81.0,1263.0,15824.0,83335.0,72021.0,594345.0,1951157.0,10078343.0
Illinois,2008.0,81.0,1364.0,15533.0,86493.0,76818.0,612326.0,1955231.0,10102663.0
Illinois,2009.0,70.0,1490.0,15187.0,83309.0,82361.0,629853.0,1960826.0,10123738.0
Illinois,2010.0,61.0,1568.0,15118.0,83184.0,86396.0,641679.0,1965842.0,10136715.0
Illinois,2011.0,84.0,1642.0,15262.0,84918.0,87780.0,657394.0,1971805.0,10152278.0
Illinois,2012.0,77.0,1718.0,15570.0,85068.0,88647.0,677533.0,1968408.0,10140667.0
Illinois,2013.0,69.0,1881.0,15688.0,85763.0,88424.0,699051.0,1965178.0,10129482.0
Illinois,2014.0,64.0,1925.0,16000.0,87304.0,88337.0,726423.0,1964390.0,10101430.0
Illinois,2015.0,63.0,2028.0,16400.0,88381.0,88619.0,750026.0,1962578.0,10058772.0
Illinois,2016.0,80.0,2148.0,17186.0,87606.0,88734.0,752406.0,1953836.0,10006563.0
Illinois,2017.0,81.0,2172.0,17580.0,89888.0,89142.0,774210.0,1950271.0,9988400.0
