,,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths
Age_Groups,,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85+ years,< 1 year,Not Stated
State,Year,,,,,,,,,,,,
California,2001.0,545.0,3464.0,4410.0,9350.0,17495.0,786.0,23522.0,39950.0,67844.0,63745.0,2830.0,103.0
California,2002.0,529.0,3520.0,4375.0,9316.0,17509.0,805.0,24315.0,39080.0,67756.0,64402.0,2889.0,69.0
California,2003.0,557.0,3686.0,4402.0,9426.0,18562.0,839.0,25304.0,38406.0,68285.0,67002.0,2820.0,82.0
California,2004.0,524.0,3669.0,4377.0,8883.0,18408.0,755.0,25459.0,36922.0,65726.0,64934.0,2811.0,57.0
California,2005.0,561.0,3818.0,4359.0,8886.0,18743.0,714.0,26564.0,36667.0,65543.0,68204.0,2930.0,48.0
California,2006.0,512.0,3934.0,4394.0,8473.0,18992.0,727.0,27160.0,35846.0,64194.0,70014.0,2835.0,45.0
California,2007.0,496.0,3697.0,4295.0,8053.0,18860.0,662.0,27738.0,35356.0,61786.0,69790.0,2944.0,43.0
California,2008.0,462.0,3393.0,4138.0,7426.0,18211.0,615.0,28450.0,36110.0,60509.0,72603.0,2814.0,35.0
California,2009.0,484.0,3256.0,4188.0,7437.0,18530.0,624.0,28824.0,35917.0,57862.0,72982.0,2602.0,30.0
California,2010.0,439.0,3032.0,3908.0,6751.0,17140.0,550.0,29568.0,36090.0,57540.0,76546.0,2420.0,28.0
California,2011.0,449.0,3039.0,4168.0,6774.0,17494.0,525.0,30575.0,36756.0,57944.0,79798.0,2398.0,22.0
California,2012.0,413.0,2942.0,4270.0,6630.0,17217.0,495.0,31306.0,38609.0,57171.0,81238.0,2246.0,17.0
California,2013.0,371.0,2998.0,4360.0,6750.0,16822.0,563.0,31783.0,40384.0,57898.0,84053.0,2353.0,24.0
California,2014.0,359.0,2892.0,4502.0,6709.0,16665.0,510.0,32473.0,41258.0,56404.0,81971.0,2163.0,23.0
California,2015.0,340.0,3053.0,4816.0,6982.0,16582.0,496.0,33339.0,44780.0,58686.0,87948.0,2169.0,15.0
California,2016.0,397.0,3166.0,5201.0,7032.0,16370.0,530.0,34176.0,45834.0,59121.0,88331.0,2057.0,25.0
California,2017.0,333.0,3084.0,5188.0,7151.0,15822.0,547.0,34144.0,48029.0,60532.0,91368.0,1973.0,18.0
California,2018.0,342.0,2915.0,5359.0,7413.0,15465.0,478.0,34198.0,48803.0,61739.0,90173.0,1909.0,24.0
Colorado,1999.0,78.0,454.0,618.0,1270.0,1900.0,106.0,2662.0,4819.0,7537.0,7251.0,416.0,
Colorado,2000.0,72.0,452.0,567.0,1279.0,2068.0,116.0,2666.0,4746.0,7488.0,7425.0,404.0,
Colorado,2001.0,72.0,499.0,681.0,1362.0,2185.0,118.0,2683.0,4710.0,7813.0,7782.0,388.0,
Colorado,2002.0,76.0,524.0,610.0,1308.0,2368.0,110.0,2956.0,4724.0,8029.0,8089.0,415.0,
Colorado,2003.0,80.0,515.0,623.0,1321.0,2384.0,104.0,3169.0,4686.0,8052.0,8151.0,420.0,
Colorado,2004.0,54.0,511.0,644.0,1197.0,2384.0,98.0,3186.0,4363.0,7867.0,7569.0,434.0,
Colorado,2005.0,83.0,550.0,593.0,1166.0,2539.0,107.0,3249.0,4516.0,7942.0,8435.0,444.0,
Colorado,2006.0,86.0,536.0,651.0,1133.0,2475.0,84.0,3383.0,4447.0,7841.0,8478.0,404.0,
Colorado,2007.0,59.0,451.0,621.0,1157.0,2588.0,87.0,3582.0,4497.0,7671.0,8847.0,433.0,
Colorado,2008.0,71.0,506.0,642.0,1120.0,2643.0,99.0,3838.0,4831.0,7791.0,9294.0,437.0,
Colorado,2009.0,56.0,493.0,690.0,1151.0,2653.0,99.0,3994.0,4910.0,7523.0,9172.0,429.0,
Colorado,2010.0,88.0,472.0,661.0,1028.0,2448.0,73.0,4159.0,4790.0,7750.0,9604.0,392.0,
Colorado,2011.0,57.0,473.0,717.0,1087.0,2575.0,87.0,4445.0,4908.0,7760.0,10090.0,362.0,
Colorado,2012.0,65.0,453.0,781.0,1092.0,2435.0,87.0,4524.0,5328.0,7624.0,10444.0,298.0,
Colorado,2013.0,80.0,469.0,754.0,1042.0,2446.0,89.0,4530.0,5666.0,7601.0,10702.0,331.0,
Colorado,2014.0,60.0,470.0,815.0,1176.0,2395.0,91.0,4736.0,6183.0,7949.0,11045.0,315.0,
Colorado,2015.0,56.0,520.0,898.0,1103.0,2375.0,92.0,4890.0,6356.0,8188.0,11561.0,309.0,
