Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
9/30/2020,2/1/2020,9/26/2020,FL,Lake County,12069,203,"3,028"
9/30/2020,2/1/2020,9/26/2020,FL,Lee County,12071,442,"5,539"
9/30/2020,2/1/2020,9/26/2020,GA,Baldwin County,13009,58,336
9/30/2020,2/1/2020,9/26/2020,GA,Bibb County,13021,234,"2,014"
9/30/2020,2/1/2020,9/26/2020,GA,Bleckley County,13023,12,69
9/30/2020,2/1/2020,9/26/2020,GA,Colquitt County,13071,41,395
9/30/2020,2/1/2020,9/26/2020,GA,Columbia County,13073,14,432
9/30/2020,2/1/2020,9/26/2020,GA,Dougherty County,13095,201,"1,019"
9/30/2020,2/1/2020,9/26/2020,GA,Forsyth County,13117,62,"1,071"
9/30/2020,2/1/2020,9/26/2020,GA,Franklin County,13119,12,173
9/30/2020,2/1/2020,9/26/2020,GA,Tift County,13277,105,462
9/30/2020,2/1/2020,9/26/2020,HI,Hawaii County,15001,21,"1,156"
9/30/2020,2/1/2020,9/26/2020,IA,Black Hawk County,19013,91,950
9/30/2020,2/1/2020,9/26/2020,IA,Des Moines County,19057,13,315
9/30/2020,2/1/2020,9/26/2020,IA,Emmet County,19063,10,89
9/30/2020,2/1/2020,9/26/2020,ID,Twin Falls County,16083,53,652
9/30/2020,2/1/2020,9/26/2020,IL,Adams County,17001,15,640
9/30/2020,2/1/2020,9/26/2020,IL,Cass County,17017,10,58
9/30/2020,2/1/2020,9/26/2020,IL,Champaign County,17019,37,"1,204"
9/30/2020,2/1/2020,9/26/2020,IL,Coles County,17029,25,430
9/30/2020,2/1/2020,9/26/2020,IL,McDonough County,17109,16,202
9/30/2020,2/1/2020,9/26/2020,IL,Williamson County,17199,33,612
9/30/2020,2/1/2020,9/26/2020,IN,Allen County,18003,242,"3,132"
9/30/2020,2/1/2020,9/26/2020,IN,Daviess County,18027,14,195
9/30/2020,2/1/2020,9/26/2020,IN,Grant County,18053,30,520
9/30/2020,2/1/2020,9/26/2020,IN,Harrison County,18061,15,230
9/30/2020,2/1/2020,9/26/2020,IN,Howard County,18067,65,759
9/30/2020,2/1/2020,9/26/2020,IN,Orange County,18117,16,114
9/30/2020,2/1/2020,9/26/2020,IN,Porter County,18127,42,"1,123"
9/30/2020,2/1/2020,9/26/2020,IN,Vigo County,18167,52,962
9/30/2020,2/1/2020,9/26/2020,KS,Ford County,20057,14,157
9/30/2020,2/1/2020,9/26/2020,KY,Casey County,21045,10,97
9/30/2020,2/1/2020,9/26/2020,AL,Calhoun County,1015,82,"1,053"
9/30/2020,2/1/2020,9/26/2020,AL,DeKalb County,1049,16,458
9/30/2020,2/1/2020,9/26/2020,AL,Lee County,1081,129,898
9/30/2020,2/1/2020,9/26/2020,AL,Morgan County,1103,49,893
9/30/2020,2/1/2020,9/26/2020,AR,Independence County,5063,19,335
9/30/2020,2/1/2020,9/26/2020,AZ,Yuma County,4027,306,"1,538"
9/30/2020,2/1/2020,9/26/2020,CA,Butte County,6007,40,"1,465"
9/30/2020,2/1/2020,9/26/2020,CA,Kern County,6029,380,"4,559"
9/30/2020,2/1/2020,9/26/2020,CA,Napa County,6055,18,830
9/30/2020,2/1/2020,9/26/2020,CO,Mesa County,8077,18,"1,250"
9/30/2020,2/1/2020,9/26/2020,CT,Middlesex County,9007,178,975
9/30/2020,2/1/2020,9/26/2020,CT,New London County,9011,104,"1,445"
